"타임스탬프","Q1. 귀하는 다음 중 어디에 해당합니까?","Q2. 현재 교직 경력은 얼마나 되셨습니까?","Q3. 지난 1년간 정도를 넘는 항의·민원을 경험하셨습니까?","Q4. 경험하신 민원의 주된 유형은 무엇이었습니까? (복수 선택 가능)","Q5. 체험학습·현장활동 계획을 취소하거나 축소했다","Q6. 학생 생활지도를 피하거나 소극적으로 대응했다","Q7. 수업 중 학생 지도 발언을 자제했다","Q8. 이직·명예퇴직을 고민했다","Q9. 민원 상황에서 가장 어렵게 느끼셨던 것은 무엇입니까?","Q10. 민원 경험 후 전반적인 교육활동 의욕이 어떻게 변화했습니까?","Q2. 지난 1년간 자녀 학교 교사 또는 학교에 문의나 건의를 한 적이 있습니까?","Q3. 문의나 건의를 하신 주된 이유는 무엇이었습니까? (복수 선택 가능)","Q4. 학교나 교사에게 문의할 때 어렵게 느끼신 점이 있었습니까? (복수 선택 가능)","Q5. 귀하는 주변 학부모 중 도를 넘는 민원을 제기하거나 교사·학교를 과도하게 압박하는 사례를 보거나 들은 적이 있습니까?","Q6. 그러한 사례가 귀하 또는 학교 공동체에 어떤 불편함을 주었습니까? (복수 선택 가능)","Q7. 일부 학부모의 과도한 민원이 교사의 교육활동을 위축시킨다고 생각합니까?","Q8. 교사가 민원이 두려워 체험학습이나 생활지도를 줄인다면, 그 피해는 결국 누구에게 돌아온다고 생각합니까?","Q2. 최근 1~2년 사이 학교 체험학습이나 현장활동이 줄었다고 느낍니까?","Q3. 선생님이 생활지도(수업 중 지도, 규칙 안내 등)를 예전보다 소극적으로 하신다고 느낀 적이 있습니까?","Q4. 학교에서 다양한 활동(체험학습, 모둠활동, 현장학습 등)이 충분히 이루어지고 있다고 생각합니까?","Q5. 학부모의 지나친 민원이 선생님을 위축시켜 수업과 학교 행사에 영향을 준다고 생각합니까?","Q6. 선생님이 민원이 두려워 교육활동을 줄인다면, 그 피해는 결국 누구에게 돌아온다고 생각합니까?","Q11. 대부분의 학부모 민원은 자녀를 걱정하는 정당한 관심에서 비롯된다","Q12. 일부 소수의 과도한 민원이 교사 전체에게 심각한 부담을 주고 있다","Q13. 현재 우리나라의 교권침해 문제가 심각한 수준이다","Q14. 교사가 정당한 생활지도를 해도 아동학대로 신고당할 수 있다는 불안감이 크다","Q15. 현재 교사가 정당한 생활지도를 해도 아동학대로 신고당할 수 있는 법적 환경이 교육활동을 위축시킨다고 생각합니까?","Q16. 교권침해 및 과도한 민원 문제를 해결하기 위해 가장 시급한 것은 무엇입니까? (최대 2개 선택)","Q17. AI가 학부모 민원을 먼저 분석해 감정적 표현을 걸러낸 뒤 교사에게 전달하는 시스템이 있다면,
"2026/06/26 7:03:58 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","④ 성적·수행평가 결과에 대해 궁금한 점이 있어서","① 어느 선생님께, 어떤 방식으로 연락해야 할지 몰랐다;③ 학교 측 대응이 너무 형식적이거나 방어적이었다;④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","③ 없다","③ 다른 학부모들도 정당한 문의를 하기 꺼려지는 분위기가 생겼다;④ 우리 아이가 학교에서 불이익을 받지 않을까 걱정됐다","④ 그런 편이다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","④ 그런 편이다","③ 보통이다","② 아닌 편이다","② 아닌 편이다","③ 학교 내 민원 전담 창구 설치","③ 보통이다","② 학교 관리자 (교장·교감)의 적극적 보호"
"2026/06/26 7:04:12 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","④ 성적·수행평가 결과에 대해 궁금한 점이 있어서","① 어느 선생님께, 어떤 방식으로 연락해야 할지 몰랐다;③ 학교 측 대응이 너무 형식적이거나 방어적이었다","① 직접 목격한 적 있다","⑤ 학교 공동체 전체의 신뢰 관계가 나빠졌다","⑤ 매우 그렇다","③ 사회 전체에 골고루 퍼진다","","","","","","③ 보통이다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","③ 학교 내 민원 전담 창구 설치;④ AI 기반 민원 완충·자동 대응 시스템 도입","④ 그런 편이다","⑤ 사회 전체의 인식 변화"
"2026/06/26 7:18:08 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","③ 자녀가 학교생활에서 어려움을 겪는 것 같아서","④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","② 다른 학부모에게 들은 적 있다","③ 다른 학부모들도 정당한 문의를 하기 꺼려지는 분위기가 생겼다","④ 그런 편이다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","① 아동학대 신고 관련 법 조항 명확화;③ 학교 내 민원 전담 창구 설치","③ 보통이다","③ 학부모 스스로의 성찰과 변화"
"2026/06/26 7:21:53 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","③ 자녀가 학교생활에서 어려움을 겪는 것 같아서","③ 학교 측 대응이 너무 형식적이거나 방어적이었다;④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","② 다른 학부모에게 들은 적 있다","② 선생님이 위축되어 수업이나 지도가 소극적으로 바뀌었다;③ 다른 학부모들도 정당한 문의를 하기 꺼려지는 분위기가 생겼다","④ 그런 편이다","① 학생에게 가장 크다","","","","","","③ 보통이다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","① 아동학대 신고 관련 법 조항 명확화;③ 학교 내 민원 전담 창구 설치;⑤ 학부모·학생 대상 교권 교육 강화","④ 그런 편이다","① 교육부·교육청의 제도 개선"
"2026/06/26 7:22:58 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑥ 기타","⑤ 어려운 점 없이 소통이 잘 됐다","② 다른 학부모에게 들은 적 있다","② 선생님이 위축되어 수업이나 지도가 소극적으로 바뀌었다","④ 그런 편이다","③ 사회 전체에 골고루 퍼진다","","","","","","④ 그런 편이다","⑤ 매우 그렇다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","② 교사 대상 법률 지원 확대;③ 학교 내 민원 전담 창구 설치","② 아닌 편이다","① 교육부·교육청의 제도 개선"
"2026/06/26 7:34:50 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑥ 기타","③ 학교 측 대응이 너무 형식적이거나 방어적이었다","① 직접 목격한 적 있다","④ 우리 아이가 학교에서 불이익을 받지 않을까 걱정됐다","④ 그런 편이다","③ 사회 전체에 골고루 퍼진다","","","","","","④ 그런 편이다","② 아닌 편이다","③ 보통이다","④ 그런 편이다","④ 그런 편이다","① 아동학대 신고 관련 법 조항 명확화;③ 학교 내 민원 전담 창구 설치","② 아닌 편이다","⑤ 사회 전체의 인식 변화"
"2026/06/26 7:50:43 오후 GMT+9","⑥ 학생 (중학생)","","","","","","","","","","","","","","","","","② 다소 줄었다","③ 잘 모르겠다","④ 충분한 편이다","⑤ 매우 그렇다","① 학생에게 가장 크다","","","","","⑤ 매우 그렇다","② 교사 대상 법률 지원 확대;③ 학교 내 민원 전담 창구 설치","④ 그런 편이다","① 교육부·교육청의 제도 개선"
"2026/06/26 7:56:23 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","④ 성적·수행평가 결과에 대해 궁금한 점이 있어서","① 어느 선생님께, 어떤 방식으로 연락해야 할지 몰랐다;④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","③ 없다","④ 우리 아이가 학교에서 불이익을 받지 않을까 걱정됐다","③ 보통이다","① 학생에게 가장 크다","","","","","","③ 보통이다","③ 보통이다","③ 보통이다","③ 보통이다","③ 보통이다","③ 학교 내 민원 전담 창구 설치","④ 그런 편이다","④ AI 등 기술적 완충 시스템 도입"
"2026/06/26 7:57:07 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","③ 자녀가 학교생활에서 어려움을 겪는 것 같아서","⑤ 어려운 점 없이 소통이 잘 됐다","③ 없다","② 선생님이 위축되어 수업이나 지도가 소극적으로 바뀌었다","⑤ 매우 그렇다","① 학생에게 가장 크다","","","","","","② 아닌 편이다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","② 교사 대상 법률 지원 확대;③ 학교 내 민원 전담 창구 설치","② 아닌 편이다","② 학교 관리자 (교장·교감)의 적극적 보호"
"2026/06/26 8:19:24 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑤ 학교 행사 또는 대회 참여 관련 문의","④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","③ 없다","","④ 그런 편이다","③ 사회 전체에 골고루 퍼진다","","","","","","④ 그런 편이다","⑤ 매우 그렇다","④ 그런 편이다","④ 그런 편이다","⑤ 매우 그렇다","③ 학교 내 민원 전담 창구 설치","③ 보통이다","⑤ 사회 전체의 인식 변화"
"2026/06/26 8:36:13 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","④ 성적·수행평가 결과에 대해 궁금한 점이 있어서","④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","② 다른 학부모에게 들은 적 있다","③ 다른 학부모들도 정당한 문의를 하기 꺼려지는 분위기가 생겼다;⑤ 학교 공동체 전체의 신뢰 관계가 나빠졌다","④ 그런 편이다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","④ 그런 편이다","③ 보통이다","③ 보통이다","④ 그런 편이다","① 아동학대 신고 관련 법 조항 명확화;③ 학교 내 민원 전담 창구 설치","② 아닌 편이다","① 교육부·교육청의 제도 개선"
"2026/06/26 8:45:00 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","① 자녀 안전에 우려가 있어서","① 어느 선생님께, 어떤 방식으로 연락해야 할지 몰랐다","② 다른 학부모에게 들은 적 있다","④ 우리 아이가 학교에서 불이익을 받지 않을까 걱정됐다","④ 그런 편이다","③ 사회 전체에 골고루 퍼진다","","","","","","③ 보통이다","④ 그런 편이다","③ 보통이다","③ 보통이다","③ 보통이다","③ 학교 내 민원 전담 창구 설치","③ 보통이다","③ 학부모 스스로의 성찰과 변화"
"2026/06/26 8:45:30 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","① 자녀 안전에 우려가 있어서","③ 학교 측 대응이 너무 형식적이거나 방어적이었다;⑤ 어려운 점 없이 소통이 잘 됐다","② 다른 학부모에게 들은 적 있다","④ 우리 아이가 학교에서 불이익을 받지 않을까 걱정됐다","⑤ 매우 그렇다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","⑤ 매우 그렇다","④ 그런 편이다","④ 그런 편이다","③ 보통이다","③ 학교 내 민원 전담 창구 설치;④ AI 기반 민원 완충·자동 대응 시스템 도입","④ 그런 편이다","⑤ 사회 전체의 인식 변화"
"2026/06/26 8:49:35 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","① 자녀 안전에 우려가 있어서;⑤ 학교 행사 또는 대회 참여 관련 문의","③ 학교 측 대응이 너무 형식적이거나 방어적이었다;④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","③ 없다","","④ 그런 편이다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","③ 보통이다","③ 보통이다","④ 그런 편이다","③ 보통이다","① 아동학대 신고 관련 법 조항 명확화;⑤ 학부모·학생 대상 교권 교육 강화","③ 보통이다","③ 학부모 스스로의 성찰과 변화"
"2026/06/26 8:50:10 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑥ 기타","① 어느 선생님께, 어떤 방식으로 연락해야 할지 몰랐다;③ 학교 측 대응이 너무 형식적이거나 방어적이었다;④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","② 다른 학부모에게 들은 적 있다","① 학교 행사나 체험학습이 취소되거나 줄어들었다;② 선생님이 위축되어 수업이나 지도가 소극적으로 바뀌었다;③ 다른 학부모들도 정당한 문의를 하기 꺼려지는 분위기가 생겼다;④ 우리 아이가 학교에서 불이익을 받지 않을까 걱정됐다","⑤ 매우 그렇다","③ 사회 전체에 골고루 퍼진다","","","","","","④ 그런 편이다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","② 교사 대상 법률 지원 확대;③ 학교 내 민원 전담 창구 설치;⑤ 학부모·학생 대상 교권 교육 강화","④ 그런 편이다","⑤ 사회 전체의 인식 변화"
"2026/06/26 9:19:24 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","⑥ 기타","④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","② 다른 학부모에게 들은 적 있다","③ 다른 학부모들도 정당한 문의를 하기 꺼려지는 분위기가 생겼다;④ 우리 아이가 학교에서 불이익을 받지 않을까 걱정됐다","③ 보통이다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","④ 그런 편이다","③ 보통이다","② 아닌 편이다","③ 보통이다","⑤ 학부모·학생 대상 교권 교육 강화","③ 보통이다","① 교육부·교육청의 제도 개선"
"2026/06/26 9:22:13 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","④ 성적·수행평가 결과에 대해 궁금한 점이 있어서","⑤ 어려운 점 없이 소통이 잘 됐다","② 다른 학부모에게 들은 적 있다","① 학교 행사나 체험학습이 취소되거나 줄어들었다;② 선생님이 위축되어 수업이나 지도가 소극적으로 바뀌었다","⑤ 매우 그렇다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","⑤ 매우 그렇다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","① 아동학대 신고 관련 법 조항 명확화;⑤ 학부모·학생 대상 교권 교육 강화","③ 보통이다","③ 학부모 스스로의 성찰과 변화"
"2026/06/26 9:35:56 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑤ 학교 행사 또는 대회 참여 관련 문의","① 어느 선생님께, 어떤 방식으로 연락해야 할지 몰랐다;④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","① 직접 목격한 적 있다","④ 우리 아이가 학교에서 불이익을 받지 않을까 걱정됐다","⑤ 매우 그렇다","③ 사회 전체에 골고루 퍼진다","","","","","","③ 보통이다","⑤ 매우 그렇다","⑤ 매우 그렇다","④ 그런 편이다","④ 그런 편이다","③ 학교 내 민원 전담 창구 설치;⑤ 학부모·학생 대상 교권 교육 강화","④ 그런 편이다","⑤ 사회 전체의 인식 변화"
"2026/06/26 10:08:15 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑤ 학교 행사 또는 대회 참여 관련 문의","① 어느 선생님께, 어떤 방식으로 연락해야 할지 몰랐다","② 다른 학부모에게 들은 적 있다","③ 다른 학부모들도 정당한 문의를 하기 꺼려지는 분위기가 생겼다;④ 우리 아이가 학교에서 불이익을 받지 않을까 걱정됐다;⑤ 학교 공동체 전체의 신뢰 관계가 나빠졌다","④ 그런 편이다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","⑤ 매우 그렇다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","② 교사 대상 법률 지원 확대;③ 학교 내 민원 전담 창구 설치","④ 그런 편이다","① 교육부·교육청의 제도 개선"
"2026/06/26 10:55:01 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","⑤ 학교 행사 또는 대회 참여 관련 문의","⑤ 어려운 점 없이 소통이 잘 됐다","② 다른 학부모에게 들은 적 있다","② 선생님이 위축되어 수업이나 지도가 소극적으로 바뀌었다","⑤ 매우 그렇다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","② 교사 대상 법률 지원 확대;③ 학교 내 민원 전담 창구 설치;⑤ 학부모·학생 대상 교권 교육 강화","② 아닌 편이다","② 학교 관리자 (교장·교감)의 적극적 보호"
"2026/06/26 11:05:58 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","④ 성적·수행평가 결과에 대해 궁금한 점이 있어서","② 문의 후 답변이 너무 늦거나 오지 않았다","④ 잘 모르겠다","④ 우리 아이가 학교에서 불이익을 받지 않을까 걱정됐다","④ 그런 편이다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","② 아닌 편이다","③ 보통이다","① 전혀 아니다","④ 그런 편이다","① 아동학대 신고 관련 법 조항 명확화;⑤ 학부모·학생 대상 교권 교육 강화","② 아닌 편이다","③ 학부모 스스로의 성찰과 변화"
"2026/06/27 12:22:24 오전 GMT+9","④ 학부모","","","","","","","","","","② 있다","⑥ 기타","⑤ 어려운 점 없이 소통이 잘 됐다","③ 없다","","⑤ 매우 그렇다","③ 사회 전체에 골고루 퍼진다","","","","","","③ 보통이다","⑤ 매우 그렇다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","① 아동학대 신고 관련 법 조항 명확화;② 교사 대상 법률 지원 확대","④ 그런 편이다","⑤ 사회 전체의 인식 변화"
"2026/06/27 6:19:19 오전 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑤ 학교 행사 또는 대회 참여 관련 문의","⑤ 어려운 점 없이 소통이 잘 됐다","② 다른 학부모에게 들은 적 있다","⑥ 기타","④ 그런 편이다","① 학생에게 가장 크다","","","","","","③ 보통이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","② 교사 대상 법률 지원 확대;③ 학교 내 민원 전담 창구 설치","③ 보통이다","③ 학부모 스스로의 성찰과 변화"
"2026/06/27 10:59:18 오전 GMT+9","④ 학부모","","","","","","","","","","② 있다","③ 자녀가 학교생활에서 어려움을 겪는 것 같아서","③ 학교 측 대응이 너무 형식적이거나 방어적이었다;④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","④ 잘 모르겠다","④ 우리 아이가 학교에서 불이익을 받지 않을까 걱정됐다","④ 그런 편이다","③ 사회 전체에 골고루 퍼진다","","","","","","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ AI 기반 민원 완충·자동 대응 시스템 도입;⑤ 학부모·학생 대상 교권 교육 강화","④ 그런 편이다","① 교육부·교육청의 제도 개선"
"2026/06/27 11:16:54 오전 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑤ 학교 행사 또는 대회 참여 관련 문의","⑤ 어려운 점 없이 소통이 잘 됐다","④ 잘 모르겠다","⑥ 기타","⑤ 매우 그렇다","① 학생에게 가장 크다","","","","","","② 아닌 편이다","⑤ 매우 그렇다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","③ 학교 내 민원 전담 창구 설치;⑤ 학부모·학생 대상 교권 교육 강화","② 아닌 편이다","⑤ 사회 전체의 인식 변화"
"2026/06/27 11:22:57 오전 GMT+9","④ 학부모","","","","","","","","","","② 있다","⑥ 기타","① 어느 선생님께, 어떤 방식으로 연락해야 할지 몰랐다;④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","② 다른 학부모에게 들은 적 있다","① 학교 행사나 체험학습이 취소되거나 줄어들었다;② 선생님이 위축되어 수업이나 지도가 소극적으로 바뀌었다","⑤ 매우 그렇다","③ 사회 전체에 골고루 퍼진다","","","","","","① 전혀 아니다","④ 그런 편이다","⑤ 매우 그렇다","⑤ 매우 그렇다","④ 그런 편이다","① 아동학대 신고 관련 법 조항 명확화;④ AI 기반 민원 완충·자동 대응 시스템 도입;⑤ 학부모·학생 대상 교권 교육 강화","④ 그런 편이다","⑤ 사회 전체의 인식 변화"
"2026/06/27 11:30:56 오전 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑥ 기타","⑥ 기타","② 다른 학부모에게 들은 적 있다","② 선생님이 위축되어 수업이나 지도가 소극적으로 바뀌었다;③ 다른 학부모들도 정당한 문의를 하기 꺼려지는 분위기가 생겼다","⑤ 매우 그렇다","① 학생에게 가장 크다","","","","","","① 전혀 아니다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","② 교사 대상 법률 지원 확대;④ AI 기반 민원 완충·자동 대응 시스템 도입","④ 그런 편이다","③ 학부모 스스로의 성찰과 변화"
"2026/06/27 11:36:32 오전 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑥ 기타","⑥ 기타","② 다른 학부모에게 들은 적 있다","⑤ 학교 공동체 전체의 신뢰 관계가 나빠졌다","⑤ 매우 그렇다","① 학생에게 가장 크다","","","","","","③ 보통이다","⑤ 매우 그렇다","④ 그런 편이다","⑤ 매우 그렇다","⑤ 매우 그렇다","① 아동학대 신고 관련 법 조항 명확화;② 교사 대상 법률 지원 확대","② 아닌 편이다","① 교육부·교육청의 제도 개선"
"2026/06/27 12:14:51 오후 GMT+9","① 교사 (초등학교)","③ 10년 이상","② 1~2회 있었다","④ 퇴근 후·주말 개인 연락","② 거의 없다","② 거의 없다","④ 자주","⑤ 매우 자주","② 감정적으로 공격적인 언어에 직접 노출","① 크게 줄었다","","","","","","","","","","","","","③ 보통이다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","① 아동학대 신고 관련 법 조항 명확화;④ AI 기반 민원 완충·자동 대응 시스템 도입","③ 보통이다","③ 학부모 스스로의 성찰과 변화"
"2026/06/27 12:22:58 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","② 교사의 지도 방식에 대해 궁금한 점이 생겨서","③ 학교 측 대응이 너무 형식적이거나 방어적이었다;④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","③ 없다","⑥ 기타","④ 그런 편이다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","③ 학교 내 민원 전담 창구 설치","④ 그런 편이다","① 교육부·교육청의 제도 개선"
"2026/06/27 1:04:51 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","⑥ 기타","③ 학교 측 대응이 너무 형식적이거나 방어적이었다;④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","② 다른 학부모에게 들은 적 있다","① 학교 행사나 체험학습이 취소되거나 줄어들었다","⑤ 매우 그렇다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","② 교사 대상 법률 지원 확대;③ 학교 내 민원 전담 창구 설치","④ 그런 편이다","③ 학부모 스스로의 성찰과 변화"
"2026/06/27 1:05:29 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑤ 학교 행사 또는 대회 참여 관련 문의","④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","③ 없다","","④ 그런 편이다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","② 교사 대상 법률 지원 확대;⑤ 학부모·학생 대상 교권 교육 강화","③ 보통이다","③ 학부모 스스로의 성찰과 변화"
"2026/06/27 1:24:58 오후 GMT+9","⑥ 학생 (중학생)","","","","","","","","","","","","","","","","","④ 오히려 늘었다","④ 느끼지 못한다","④ 충분한 편이다","⑤ 매우 그렇다","③ 사회 전체에 골고루 퍼진다","","","","","⑤ 매우 그렇다","④ AI 기반 민원 완충·자동 대응 시스템 도입;⑤ 학부모·학생 대상 교권 교육 강화","⑤ 매우 그렇다","④ AI 등 기술적 완충 시스템 도입"
"2026/06/27 1:29:54 오후 GMT+9","⑥ 학생 (중학생)","","","","","","","","","","","","","","","","","② 다소 줄었다","② 가끔 느낀다","② 부족한 편이다","⑤ 매우 그렇다","③ 사회 전체에 골고루 퍼진다","","","","","⑤ 매우 그렇다","② 교사 대상 법률 지원 확대;⑤ 학부모·학생 대상 교권 교육 강화","④ 그런 편이다","① 교육부·교육청의 제도 개선"
"2026/06/27 2:14:09 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","⑤ 학교 행사 또는 대회 참여 관련 문의","① 어느 선생님께, 어떤 방식으로 연락해야 할지 몰랐다;③ 학교 측 대응이 너무 형식적이거나 방어적이었다;④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","① 직접 목격한 적 있다","② 선생님이 위축되어 수업이나 지도가 소극적으로 바뀌었다;⑤ 학교 공동체 전체의 신뢰 관계가 나빠졌다","④ 그런 편이다","③ 사회 전체에 골고루 퍼진다","","","","","","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","① 아동학대 신고 관련 법 조항 명확화;③ 학교 내 민원 전담 창구 설치","④ 그런 편이다","① 교육부·교육청의 제도 개선"
"2026/06/27 3:39:05 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","⑥ 기타","⑤ 어려운 점 없이 소통이 잘 됐다","② 다른 학부모에게 들은 적 있다","③ 다른 학부모들도 정당한 문의를 하기 꺼려지는 분위기가 생겼다","⑤ 매우 그렇다","① 학생에게 가장 크다","","","","","","③ 보통이다","④ 그런 편이다","⑤ 매우 그렇다","④ 그런 편이다","⑤ 매우 그렇다","③ 학교 내 민원 전담 창구 설치;⑤ 학부모·학생 대상 교권 교육 강화","② 아닌 편이다","⑤ 사회 전체의 인식 변화"
"2026/06/27 4:14:25 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","③ 자녀가 학교생활에서 어려움을 겪는 것 같아서","① 어느 선생님께, 어떤 방식으로 연락해야 할지 몰랐다","④ 잘 모르겠다","④ 우리 아이가 학교에서 불이익을 받지 않을까 걱정됐다","④ 그런 편이다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","③ 보통이다","③ 학교 내 민원 전담 창구 설치","④ 그런 편이다","⑤ 사회 전체의 인식 변화"
"2026/06/27 4:38:11 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","② 교사의 지도 방식에 대해 궁금한 점이 생겨서","① 어느 선생님께, 어떤 방식으로 연락해야 할지 몰랐다","② 다른 학부모에게 들은 적 있다","① 학교 행사나 체험학습이 취소되거나 줄어들었다","④ 그런 편이다","③ 사회 전체에 골고루 퍼진다","","","","","","⑤ 매우 그렇다","⑤ 매우 그렇다","④ 그런 편이다","③ 보통이다","③ 보통이다","③ 학교 내 민원 전담 창구 설치","② 아닌 편이다","⑤ 사회 전체의 인식 변화"
"2026/06/27 5:59:51 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑤ 학교 행사 또는 대회 참여 관련 문의","⑤ 어려운 점 없이 소통이 잘 됐다","④ 잘 모르겠다","⑥ 기타","⑤ 매우 그렇다","③ 사회 전체에 골고루 퍼진다","","","","","","③ 보통이다","④ 그런 편이다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","② 교사 대상 법률 지원 확대","③ 보통이다","⑤ 사회 전체의 인식 변화"